study,dataset,seed,backbone,raw_auc_all,conformal_auc,fpr@0.05,tpr@0.05,flagged@0.05,runtime_s
backbones,cora,0,dominant,0.7076823422723151,0.6545719507978066,0.039816232771822356,0.41935483870967744,0.05701754385964912,8.04144840000663
backbones,cora,1,dominant,0.6765297750140346,0.6609939238255198,0.009188361408882083,0.5161290322580645,0.03216374269005848,6.568428399972618
backbones,cora,2,dominant,0.6619193620359576,0.7935746606334841,0.021538461538461538,0.6470588235294118,0.05263157894736842,6.848191800061613
backbones,cora,3,dominant,0.6726806869053272,0.7298929663608562,0.04892966360856269,0.5666666666666667,0.07163742690058479,6.64387499995064
backbones,cora,4,dominant,0.6629125822285559,0.5121248260783144,0.037209302325581395,0.28205128205128205,0.05116959064327485,6.624728500028141
backbones,citeseer,0,dominant,0.6875874265807299,0.6373861482975731,0.010025062656641603,0.4878048780487805,0.033373063170441,16.551356600015424
backbones,citeseer,1,dominant,0.6975697792752789,0.5944711538461539,0.02,0.358974358974359,0.03575685339690107,17.263539700070396
backbones,citeseer,2,dominant,0.6743062093359201,0.6812044155332151,0.0449438202247191,0.5789473684210527,0.06912991656734208,17.19468539999798
backbones,citeseer,3,dominant,0.6902211821026591,0.6076133823059726,0.04455445544554455,0.41935483870967744,0.058402860548271755,17.98890430002939
backbones,citeseer,4,dominant,0.6862324336892016,0.6714486858573216,0.01877346683354193,0.375,0.03575685339690107,23.128178699989803
backbones,pubmed,0,dominant,0.9242097455858809,0.9223743104806934,0.03361702127659574,0.5481481481481482,0.061569416498993966,219.57680090004578
backbones,pubmed,1,dominant,0.9266880909564892,0.9182158486825155,0.01817029368265371,0.5232067510548524,0.04225352112676056,257.2614828000078
backbones,pubmed,2,dominant,0.9288997031058446,0.9307545164718385,0.031455897980871415,0.569811320754717,0.06016096579476861,248.33208049996756
backbones,pubmed,3,dominant,0.9272783835256804,0.9190163239347043,0.02225991096035616,0.5019762845849802,0.04668008048289739,276.6144405999221
backbones,pubmed,4,dominant,0.9248876755864988,0.9211221601042889,0.019966015293118096,0.5190839694656488,0.04627766599597585,349.64125310000964
