anomalies_in_C,anomaly_rate,backbone,conformal_auc,contamination_frac,dataset,degree_bin,flagged@0.05,fpr@0.05,method,n_cal,n_normals,n_test,raw_auc_all,runtime_s,seed,study,tpr@0.05
,,cola,0.7078496270315664,,cora,,0.054093567251461985,0.05053598774885146,,,,,0.7384261058571202,1.67081020004116,0,backbones,0.12903225806451613
,,dominant_style,0.19861186583016352,,cora,,0.04532163742690058,0.04747320061255743,,,,,0.22287573231996083,2.4190994999953546,0,backbones,0.0
,,degree,0.27066146322185447,,cora,,0.03654970760233918,0.036753445635528334,,,,,0.22635344244360958,0.00011470000026747584,0,backbones,0.03225806451612903
,,feature_norm,0.22341056167564094,,cora,,0.03070175438596491,0.03215926493108729,,,,,0.2510284867066834,0.0222329999669455,0,backbones,0.0
,,attr_deviation,0.22259546509904654,,cora,,0.027777777777777776,0.02909647779479326,,,,,0.2499229894488348,0.05027639999752864,0,backbones,0.0
,,cola,0.6570666403201106,,cora,,0.03508771929824561,0.03522205206738132,,,,,0.6742813548099207,1.6121192999999039,1,backbones,0.03225806451612903
,,dominant_style,0.215704194042385,,cora,,0.03070175438596491,0.030627871362940276,,,,,0.1709375134948396,1.7727053000126034,1,backbones,0.03225806451612903
,,degree,0.2903472805414217,,cora,,0.03070175438596491,0.03215926493108729,,,,,0.26296152351340846,0.000123599951621145,1,backbones,0.0
,,feature_norm,0.27933112680926736,,cora,,0.027777777777777776,0.027565084226646247,,,,,0.23485771041153863,0.02243730000918731,1,backbones,0.03225806451612903
,,attr_deviation,0.3106258953712394,,cora,,0.02631578947368421,0.026033690658499236,,,,,0.2700061896330843,0.049592399969697,1,backbones,0.03225806451612903
,,cola,0.7207692307692308,,cora,,0.06140350877192982,0.05384615384615385,,,,,0.6878121806221301,1.6473403999698348,2,backbones,0.20588235294117646
,,dominant_style,0.1886877828054299,,cora,,0.02631578947368421,0.027692307692307693,,,,,0.19113874854255733,2.0139983000117354,2,backbones,0.0
