anomalies_in_C,conformal_auc,contamination_frac,flagged@0.05,fpr@0.05,fpr_mean,fpr_p5,fpr_p95,fpr_std,method,n_cal,n_test,rewire_frac,seed,study,tpr@0.05
13,0.7078496270315664,0.0,0.054093567251461985,0.05053598774885146,,,,,,292,684,,0,contamination,
13,0.7078496270315664,0.02,0.054093567251461985,0.05053598774885146,,,,,,292,684,,0,contamination,
14,0.7023481368044922,0.05,0.05417276720351391,0.05053598774885146,,,,,,293,683,,0,contamination,
29,0.6721796835119959,0.1,0.04790419161676647,0.045941807044410414,,,,,,308,668,,0,contamination,
43,0.8583460949464011,0.15,0.0290519877675841,0.02909647779479326,,,,,,322,654,,0,contamination,
44,0.5,0.2,0.02909647779479326,0.02909647779479326,,,,,,323,653,,0,contamination,
,,,,,0.04093913521244591,0.018457297679349748,0.06391573689673063,0.014504444316118803,,,,0.0,0,dependence,
,,,,,0.04125033830940251,0.02120817177674237,0.06746317139394392,0.01466204689068351,,,,0.1,0,dependence,
,,,,,0.04181961138891811,0.021271322759239864,0.06385915676804593,0.013823691014588834,,,,0.2,0,dependence,
,,,,,0.0409155688379788,0.021265397536394177,0.06107805431186654,0.012891031607868903,,,,0.4,0,dependence,
,,,,,0.04309217397743612,0.02153187485297577,0.06285388634955516,0.013163803984667675,,,,0.6,0,dependence,
,0.7078496270315664,,0.054093567251461985,0.05053598774885146,,,,,CRC-GAD,,,,0,heuristics,0.12903225806451613
,nan,,0.049707602339181284,0.045941807044410414,,,,,Percentile,,,,0,heuristics,0.12903225806451613
,nan,,0.03654970760233918,0.010719754977029096,,,,,Feature-space CP,,,,0,heuristics,0.5806451612903226
